symbol,error
BRKB,404 Client Error: Not Found for url: https://query2.finance.yahoo.com/v8/finance/chart/BRKB?period1=1703343600&period2=1734879600&interval=1d&includeAdjustedClose=true
BFB,404 Client Error: Not Found for url: https://query2.finance.yahoo.com/v8/finance/chart/BFB?period1=1703343600&period2=1734879600&interval=1d&includeAdjustedClose=true
